Nro_datos,Tiempo_interpolación(s),Tiempo_binaria(s),Tiempo_introspectiva(s)
5000,0.000000043,0.000000048,0.000000041
10000,0.000000037,0.000000053,0.000000042
20000,0.000000049,0.000000061,0.000000048
30000,0.000000053,0.000000062,0.000000045
50000,0.000000056,0.000000069,0.000000061
80000,0.000000057,0.000000078,0.000000049
100000,0.000000074,0.000000078,0.000000051
200000,0.000000065,0.000000082,0.000000060
300000,0.000000063,0.000000089,0.000000061
