n,time_f1,time_f2,time_f3,time_f4
1170,0.000004,0.000024,0.000078,0.001273,0.000114
1180,0.000005,0.000024,0.000078,0.001287,0.000107
1190,0.000005,0.000024,0.000079,0.001317,0.000108
1200,0.000004,0.000024,0.000079,0.001332,0.000111
1210,0.000005,0.000024,0.000080,0.001359,0.000111
1220,0.000005,0.000025,0.000081,0.001378,0.000121
1230,0.000004,0.000024,0.000081,0.001400,0.000113
1240,0.000005,0.000025,0.000082,0.001428,0.000112
1250,0.000005,0.000025,0.000083,0.001443,0.000123
1260,0.000005,0.000025,0.000083,0.001467,0.000113
1270,0.000005,0.000025,0.000084,0.001497,0.000114
1280,0.000005,0.000026,0.000085,0.001518,0.000116
1290,0.000005,0.000026,0.000085,0.001540,0.000117
1300,0.000005,0.000026,0.000086,0.001642,0.000127
1310,0.000005,0.000026,0.000087,0.001585,0.000120
1320,0.000006,0.000027,0.000088,0.001609,0.000121
1330,0.000006,0.000027,0.000101,0.001634,0.000121
1340,0.000005,0.000027,0.000089,0.001670,0.000123
1350,0.000005,0.000027,0.000089,0.001809,0.000127
1360,0.000005,0.000027,0.000099,0.001707,0.000127
1370,0.000005,0.000028,0.000101,0.001735,0.000127
1380,0.000005,0.000028,0.000096,0.001757,0.000127
1390,0.000005,0.000033,0.000092,0.001783,0.000132
1400,0.000006,0.000028,0.000093,0.001811,0.000129
1410,0.000006,0.000028,0.000094,0.001845,0.000137
1420,0.000006,0.000030,0.000098,0.002013,0.000144
1430,0.000006,0.000031,0.000104,0.002054,0.000143
1440,0.000006,0.000030,0.000100,0.001939,0.000132
1450,0.000005,0.000029,0.000096,0.001943,0.000140
1460,0.000005,0.000029,0.000097,0.001969,0.000135
1470,0.000005,0.000029,0.000097,0.002138,0.000135
1480,0.000006,0.000030,0.000098,0.002024,0.000139
1490,0.000006,0.000030,0.000100,0.002050,0.000139
1500,0.000006,0.000034,0.000100,0.002079,0.000139
1510,0.000006,0.000031,0.000100,0.002105,0.000139
1520,0.000006,0.000031,0.000101,0.002138,0.000140
1530,0.000005,0.000030,0.000101,0.002163,0.000141
1540,0.000006,0.000031,0.000102,0.002195,0.000144
1550,0.000006,0.000031,0.000103,0.002217,0.000146
1560,0.000006,0.000031,0.000103,0.002251,0.000148
